id;titulo;autor;data_lancamento
1;JSON Sapatos Marginal;approach;2023-10-27
2;Travessa;madeira Gostoso;2023-10-26
3;Bedfordshire;e-services Solutions Manager;2023-10-27
4;Virtual;Filmes Legacy Rand;2023-10-27
5;Lustroso Bedfordshire;Syrian Bedfordshire Avon;2023-10-27
6;Virgens Product;connecting;2023-10-27
7;Account açafrão;Officer Automotivo Genérico;2023-10-27
8;quantify copying;quantify Ilhas schemas;2023-10-27
9;multi-byte parse administration;quantify JSON AI;2023-10-27
10;Future Dynamic Sapatos;paradigm hard;2023-10-26
